,Municipio,Estado,desmatamento_pro
145,Normandia,RR,0.002784520919605883
146,Pacaraima,RR,0.00997154521835952
147,Rorainópolis,RR,0.04457411291990428
148,São João da Baliza,RR,0.1378861788617886
149,São Luiz,RR,0.39980481457384515
150,Uiramutã,RR,0.006393987926573857
151,Abaetetuba,PA,0.43302411873840446
152,Abel Figueiredo,PA,0.9339285714285713
153,Acará,PA,0.5612244897959183
154,Afuá,PA,0.003483655452159389
155,Água Azul do Norte,PA,0.6581614035087718
156,Alenquer,PA,0.07015615184420712
157,Almeirim,PA,0.026814593498163477
158,Altamira,PA,0.0709157578036856
159,Anajás,PA,0.025835734870317005
160,Ananindeua,PA,0.4718918918918919
161,Anapu,PA,0.25769101595298066
162,Augusto Corrêa,PA,0.6625454545454545
163,Aurora do Pará,PA,0.8599780701754386
164,Aveiro,PA,0.08512493416817836
165,Bagre,PA,0.05037474449239156
166,Baião,PA,0.43845541401273885
167,Bannach,PA,0.7436572199730094
168,Barcarena,PA,0.257370820668693
169,Belém,PA,0.23616822429906542
170,Belterra,PA,0.19511252557399408
171,Benevides,PA,0.6661375661375661
172,Bom Jesus do Tocantins,PA,0.642695436858861
173,Bonito,PA,0.9228813559322034
174,Bragança,PA,0.8190317987660181
175,Brasil Novo,PA,0.4339981155778894
176,Brejo Grande do Araguaia,PA,0.8324303405572755
177,Breu Branco,PA,0.725044270174551
178,Breves,PA,0.05754283326368575
179,Bujaru,PA,0.661980198019802
180,Cachoeira do Piriá,PA,0.6329411764705882
181,Cachoeira do Arari,PA,0.023788121990369178
182,Cametá,PA,0.3622653721682848
183,Canaã dos Carajás,PA,0.5546894803548795
184,Capanema,PA,0.8390953150242326
185,Capitão Poço,PA,0.8827975376196991
186,Castanhal,PA,0.8782398452611219
187,Chaves,PA,0.00761665141811528
188,Colares,PA,0.14836601307189543
189,Conceição do Araguaia,PA,0.5315546434068753
190,Concórdia do Pará,PA,0.8846043165467625
191,Cumaru do Norte,PA,0.44015784858228585
192,Curionópolis,PA,0.8713684210526316
193,Curralinho,PA,0.057694429123000546
194,Curuá,PA,0.26930069930069933
195,Curuçá,PA,0.4100740740740741
196,Dom Eliseu,PA,0.6766049848942598
197,Eldorado dos Carajás,PA,0.9314016172506738
198,Faro,PA,0.0216720366287943
199,Floresta do Araguaia,PA,0.5589461493920093
200,Garrafão do Norte,PA,0.8940372670807454
201,Goianésia do Pará,PA,0.5685158910329171
202,Gurupá,PA,0.015181286549707605
203,Igarapé-Açu,PA,0.8730038022813688
204,Igarapé-Miri,PA,0.243812375249501
205,Inhangapi,PA,0.6901260504201681
206,Ipixuna do Pará,PA,0.5428217349857006
207,Irituia,PA,0.8781542898341744
208,Itaituba,PA,0.10415170303567116
209,Itupiranga,PA,0.6367042146563726
210,Jacareacanga,PA,0.03549450343652265
211,Jacundá,PA,0.7387978142076503
212,Juruti,PA,0.14870004814636495
213,Limoeiro do Ajuru,PA,0.04190093708165998
214,Mãe do Rio,PA,0.9556263269639066
215,Magalhães Barata,PA,0.5119631901840491
216,Marabá,PA,0.5888925532616582
217,Maracanã,PA,0.3868604651162791
218,Marapanim,PA,0.5110691823899371
219,Marituba,PA,0.6407766990291263
220,Medicilândia,PA,0.30676982591876206
221,Melgaço,PA,0.025423978764194072
222,Mocajuba,PA,0.5662844036697248
223,Moju,PA,0.49853215029028375
224,Monte Alegre,PA,0.22943738470998154
225,Muaná,PA,0.026827330508474575
226,Nova Esperança do Piriá,PA,0.5607635206786851
227,Nova Ipixuna,PA,0.7518801784576163
228,Nova Timboteua,PA,0.7707317073170732
229,Novo Progresso,PA,0.19050886520179136
